# slope intercept sigma lnLike
3.550673128536815604e+00 2.567591471551494475e+00 3.861307481255286944e-03 -1.703159451701564464e+00
3.577706510270048934e+00 2.538144843043783627e+00 2.154381883409686727e-02 -6.130202936866921970e-01
3.700040874730432527e+00 2.342044626041470234e+00 1.603284603035824013e-02 -3.310524231434709197e+00
3.568600956665441970e+00 2.570120238270145574e+00 2.634520674206396879e-02 -6.566299263440565914e-01
3.588089289683694005e+00 2.554174837525934993e+00 1.369203931927951562e-02 -1.400026045411065123e+00
3.439844013807299650e+00 2.843911086556683898e+00 8.744037467392684615e-02 -2.765394736363958383e+00
3.706657965221444861e+00 2.252236003424539668e+00 6.657937683610544444e-02 -2.669972853632358589e+00
3.637837188281526135e+00 2.407869762708095607e+00 3.727066663029507398e-05 -6.981085376931479569e-01
3.498178809642920939e+00 2.702617567023640976e+00 9.762252332230669793e-02 -2.616195806639843635e+00
3.579489067773414579e+00 2.512489049715831424e+00 7.782573578512008705e-02 -2.365454252730672557e+00
3.484034576773420877e+00 2.759241837166874767e+00 1.429620658426207502e-02 -1.824304875614517041e+00
3.522665870775744779e+00 2.665184170171540856e+00 5.055984552780090624e-02 -1.122046880588840834e+00
3.533815461171362582e+00 2.656452627736979100e+00 6.541735208275928359e-02 -1.570238188586331463e+00
3.478894327872099623e+00 2.795886185828547532e+00 1.579189571000845504e-02 -3.630673647723165587e+00
3.587037963341406677e+00 2.529767644773619040e+00 1.884763832929288452e-02 -5.495290732049389337e-01
3.557594925169586197e+00 2.556478867185222548e+00 3.620122009468623725e-02 -1.608263989758408785e+00
3.555741181869610301e+00 2.603628216138144769e+00 7.663676614966893896e-02 -1.591094177540164800e+00
3.564663987595545702e+00 2.588097783265990603e+00 5.739549020962219500e-02 -1.179861957738399081e+00
3.561785210797386636e+00 2.547027197535078002e+00 4.575301448305994778e-02 -1.744340634392569589e+00
3.644543323147701130e+00 2.406563622406399983e+00 1.033890986308097365e-01 -3.071679736176786690e+00
3.453094970481414450e+00 2.823325214698065189e+00 2.039336148988922168e-02 -2.365308341082640542e+00
3.654101159646318209e+00 2.335186572742086408e+00 1.660228034469458935e-02 -3.132036709378012151e+00
3.723085651661819373e+00 2.208051012676802483e+00 6.190119044664688791e-02 -3.285186675950888091e+00
3.644461155247712636e+00 2.428878532847333016e+00 2.144362992537623275e-02 -1.079090654148955331e+00
3.514426896914274234e+00 2.660537636750580859e+00 6.272692415191927218e-02 -1.616764322147399957e+00
3.583003654262357784e+00 2.544513890712258863e+00 5.889615341968280904e-02 -1.072808627826354666e+00
3.493664388359530193e+00 2.749811038579648592e+00 5.743650121490355420e-02 -2.221187790887736213e+00
3.532311693635316718e+00 2.686462013362072465e+00 4.047765443721589723e-02 -2.951675384726289764e+00
3.639635316854115565e+00 2.451921731928806913e+00 7.482656011247557082e-02 -2.537129289408331267e+00
3.486467751713663965e+00 2.754774003827657136e+00 1.399024868010259604e-03 -1.820443658001072995e+00
3.577673710662746309e+00 2.562674468309832587e+00 8.249676413588519219e-02 -1.872416760934216606e+00
3.394205307102219127e+00 2.912003825257004852e+00 4.693999688410221277e-02 -3.355102924608392545e+00
3.400580624497561821e+00 2.969853051211511996e+00 1.241273320206804642e-01 -6.558781209978138627e+00
3.663519202366240624e+00 2.340099733428301132e+00 6.509232028934144876e-02 -2.234340123248913734e+00
3.674328267826666661e+00 2.314701403859023454e+00 1.053840278027127868e-02 -1.637142539456236001e+00
3.478389708465192687e+00 2.750682390791371112e+00 7.530040364474328840e-02 -1.937972315388917455e+00
3.634257089264565810e+00 2.368192100643990550e+00 5.460014495299791298e-02 -4.282805872946131132e+00
3.554419215511730901e+00 2.582965986535848302e+00 1.949363718076297519e-02 -7.591581022457103423e-01
3.588942950012528499e+00 2.531722611348391272e+00 4.858732654857710054e-02 -8.810324465279826267e-01
3.546893753656799042e+00 2.595214676552542787e+00 7.142290475610878209e-02 -1.592718248194018749e+00
3.524240630160490717e+00 2.642233161984535172e+00 4.969886859898158676e-02 -1.272434140056543761e+00
3.653877907816913684e+00 2.362122105657467053e+00 7.640361535229050344e-03 -1.226233455420985052e+00
3.515474882462318096e+00 2.669654468682756576e+00 3.313325169591933156e-02 -1.044935868242547139e+00
3.609635129379854313e+00 2.464590982965856103e+00 5.795884140982664190e-03 -6.759984116757093986e-01
3.560158355774099892e+00 2.609290672440550463e+00 7.134908421821520297e-02 -1.884717113715538517e+00
3.600809465872801152e+00 2.506411281220652043e+00 2.736469412086700234e-02 -6.445044323183987123e-01
3.842742717346658399e+00 1.991102831975576803e+00 1.412295286509864661e-02 -3.721284750294437949e+00
3.601647146764526131e+00 2.478395735348876361e+00 5.698633459920141031e-02 -1.284345119013480030e+00
3.620272983866112959e+00 2.442812717182593740e+00 8.646857407119651340e-03 -6.899843822166891183e-01
3.595785729957061694e+00 2.469837124879455281e+00 5.470776026287625660e-02 -2.274585854602298784e+00
3.582089975414417538e+00 2.521442193888972838e+00 3.952921923841071217e-02 -9.062911834715695614e-01
3.495366194653591663e+00 2.715362047712272631e+00 3.646609953777960045e-02 -1.268317911290900657e+00
3.653645472458709520e+00 2.379051936928103572e+00 5.246361353788089876e-02 -1.208443909478527534e+00
3.529118134116569827e+00 2.583621445946208794e+00 6.047935920724453046e-02 -4.810395160319630214e+00
3.636312321262324065e+00 2.458604270193441632e+00 4.265096726551113882e-02 -1.857531764695200982e+00
3.383066781348432528e+00 2.965512822901944734e+00 9.264150256404479755e-02 -3.876072164387035723e+00
3.622632600413794535e+00 2.427094282646222290e+00 5.316535061423881270e-02 -1.564351528089962917e+00
3.616647041716204658e+00 2.476872417677149496e+00 3.685090246913442363e-02 -8.072884352773058714e-01
3.475364224146852088e+00 2.752777893165512246e+00 7.816337364421462042e-02 -2.076724039942753564e+00
3.599595555110238543e+00 2.478911984819836434e+00 8.426939389288190529e-02 -2.285318037931040269e+00
3.466116651855121855e+00 2.784723120476500835e+00 3.763148291752867192e-02 -1.760517229450847321e+00
3.590973721220783066e+00 2.512535850492902956e+00 1.310426296191432444e-02 -5.311187310838524356e-01
3.621259717614353502e+00 2.424270348891768290e+00 5.251674165019670770e-02 -1.833550052408592368e+00
3.513760905405268087e+00 2.642844615408326714e+00 6.681558434262696577e-02 -2.618806652544770852e+00
3.577901317300831163e+00 2.578814661765363780e+00 5.616401873419470114e-02 -1.887634252939430102e+00
3.658772959577457407e+00 2.373294102194166921e+00 3.803808371464540566e-02 -9.213288547514426607e-01
3.577326766319957052e+00 2.548677032354311311e+00 2.449049451257420337e-02 -5.903803616041702895e-01
3.553269693532876250e+00 2.612274261897093552e+00 2.652337060503533184e-02 -9.525158297686161513e-01
3.508165156314407618e+00 2.659385957984566673e+00 5.089686258538129310e-02 -2.097622339615679010e+00
3.593389611508285952e+00 2.515734292407024064e+00 4.844777905672247725e-02 -8.141910774308844800e-01
3.435687808974013269e+00 2.813731105173685965e+00 2.142153278342195932e-02 -2.892526369527210317e+00
3.535476579112189377e+00 2.611196704088120768e+00 7.121785819552883812e-02 -1.893466776669434859e+00
3.662759248690615532e+00 2.352226055379451175e+00 2.855870537150190236e-02 -1.084525174653602431e+00
3.558296496470067183e+00 2.535783482036324532e+00 1.387890043184758157e-02 -2.927361525597519609e+00
3.769161953803906062e+00 2.115529704881931483e+00 7.370008953882319080e-02 -4.259813032247370401e+00
3.593668324787623547e+00 2.530314456164965087e+00 7.317886122851977038e-02 -1.609198131770345652e+00
3.442125812511033445e+00 2.848754628568785474e+00 9.535705233257418811e-02 -3.176506769064877833e+00
3.520383824730136890e+00 2.681655794131931891e+00 2.127373387196486443e-02 -1.253930460680663828e+00
3.677225502652766931e+00 2.356792962606581998e+00 8.472203574769411605e-02 -2.583498701678054843e+00
3.548474828345018928e+00 2.633869606448423273e+00 1.673716940355291644e-02 -1.463758189610535387e+00
3.558977071091854683e+00 2.547927385177942039e+00 5.952436814883703409e-02 -2.296700550259170637e+00
3.531807000152789477e+00 2.634959509601837002e+00 2.834733453331863412e-02 -8.799634346932774243e-01
3.430668181498951252e+00 2.792766372266505925e+00 4.277267159870913604e-02 -5.478280805137269560e+00
3.642405716453188447e+00 2.397872572274832859e+00 1.224509436221411091e-02 -7.534952501371885436e-01
3.573626079485169971e+00 2.533745386989341153e+00 1.057384920363535832e-02 -9.082442881745680374e-01
3.477115285291113356e+00 2.775750130856320830e+00 9.704344402301315342e-02 -2.873978870935994134e+00
3.532775827636597921e+00 2.617986873088545607e+00 2.682253739855478339e-02 -1.223271925951094019e+00
3.510140616150572601e+00 2.664386568922938014e+00 6.752810852679286269e-03 -1.424822761583707020e+00
3.441913404494040485e+00 2.852042433230174812e+00 1.875041345032913559e-02 -2.867730461581543988e+00
3.663004354015638064e+00 2.378590300654671807e+00 4.645174859813436252e-02 -1.142958785267430777e+00
3.594652216022774294e+00 2.495996307109786372e+00 7.830321449262497846e-02 -1.809243393690329604e+00
3.485172568774583368e+00 2.732763814283218462e+00 2.156728728571670473e-02 -1.392250737816696837e+00
3.591465391072497848e+00 2.516451522688886833e+00 1.188532842605737223e-02 -5.040024176245414544e-01
3.671508587825977443e+00 2.386795303866148021e+00 1.486882398344643863e-03 -1.925262579867555779e+00
3.595969128806356885e+00 2.537108482036121604e+00 5.002527399364173344e-02 -1.565948138142179147e+00
3.483336979614166662e+00 2.762722552534420561e+00 2.725167353221684061e-02 -1.899623927777216448e+00
3.633274838118849104e+00 2.426554990619887775e+00 1.700506666761265190e-02 -5.835307918071954703e-01
3.645997837733755187e+00 2.378741853697552422e+00 5.555298861611379646e-03 -1.165155994834749187e+00
3.510924693099898519e+00 2.672385540336918996e+00 2.825447827431516734e-02 -1.169931583975737821e+00
3.633647898045575531e+00 2.411689293031209047e+00 2.140611239979703373e-03 -8.185891220577266036e-01
3.591889273479399236e+00 2.482935925948399181e+00 2.937169233557917342e-02 -1.598705588501785568e+00
3.427795163667146205e+00 2.834609564011660421e+00 7.054893092761607698e-02 -3.035882203893802256e+00
3.541372019198135046e+00 2.643548656306630829e+00 7.945182028898654936e-02 -1.966155690700895686e+00
3.542105760507281431e+00 2.567127754501697723e+00 6.169694782561740976e-02 -3.672631352022002194e+00
3.666656322061042417e+00 2.366524910407823867e+00 7.528002832497229790e-02 -1.913016548393285277e+00
3.345102404613979008e+00 3.034663026844508504e+00 7.600328318844336295e-02 -4.431901811917274614e+00
3.482090915243575946e+00 2.725459652534056421e+00 1.861551462253396849e-02 -1.709914742691436285e+00
3.521060897972250636e+00 2.660628379097567553e+00 2.485329984074195059e-02 -9.426831440002028106e-01
3.410614580295229903e+00 2.895316654288513369e+00 3.983706649195662558e-03 -2.973635616046192975e+00
3.642344912114871658e+00 2.369260609786827843e+00 2.053752422955019280e-02 -2.258385570681077592e+00
3.504964297120620298e+00 2.735018422957966155e+00 5.044505710782957314e-02 -2.592516726943459027e+00
3.720250941548804313e+00 2.219462722272901534e+00 2.294754150451411290e-03 -2.114903611470508427e+00
3.454854239471703448e+00 2.828204013058673638e+00 1.169679335604056764e-01 -4.121632936776659761e+00
