# slope intercept sigma lnLike
2.757636737721622655e+00 4.382900960940116164e+00 2.327276197459804130e-01 -3.559284034185125023e+01
2.725729690143031902e+00 4.457234944499268714e+00 2.364832628672118575e-01 -3.615647320714908375e+01
2.661284956636061239e+00 4.523144840112880871e+00 1.933367686116785333e-01 -3.640603037526265950e+01
2.832055727568562276e+00 4.211904352812908314e+00 1.612650051499760762e-01 -3.551092007653982563e+01
2.767557161018889378e+00 4.296132952538921579e+00 2.220120667319674113e-01 -3.681268780458479739e+01
2.685497558676846808e+00 4.518141463678616354e+00 2.190903470684019416e-01 -3.526644669661144604e+01
2.758847991205650274e+00 4.388754952697808243e+00 2.293646423444179183e-01 -3.559032083639575461e+01
2.611765402739418818e+00 4.633327288322811377e+00 2.380232346590865911e-01 -3.769236126750445237e+01
2.568102935912674134e+00 4.749832585810668917e+00 1.837893744614016445e-01 -3.848005720447622480e+01
2.798562183907588263e+00 4.322001062503946223e+00 2.388206467587699611e-01 -3.670544281384754015e+01
2.704690215247302909e+00 4.484645109723215839e+00 1.841603716385523948e-01 -3.482576264880314909e+01
2.788344705420787051e+00 4.334286738394504290e+00 2.180095871033180255e-01 -3.524068908146870172e+01
2.798962637714214274e+00 4.309886050721025263e+00 1.757042160240364359e-01 -3.490850089927263866e+01
2.648649157139319588e+00 4.572716844444642881e+00 2.501465041717580440e-01 -3.748775102276798776e+01
2.770184959761289978e+00 4.298297435658446020e+00 2.313071616948972897e-01 -3.674387091871154354e+01
2.867146164143314913e+00 4.157730847686691433e+00 1.263390505421903287e-01 -3.932157949049704371e+01
2.651683243490386754e+00 4.568671002690064320e+00 1.980654374071363910e-01 -3.556463431511399165e+01
2.822462011713724017e+00 4.258690302592932575e+00 2.350357222319073014e-01 -3.613356602206570045e+01
2.778387504000577657e+00 4.347482366462886993e+00 1.956243808779883075e-01 -3.449699894460697180e+01
2.787378814196220578e+00 4.283719331743595760e+00 2.085750043787719110e-01 -3.497572522545270601e+01
2.797152358415533779e+00 4.324778792222251589e+00 2.231473187480908504e-01 -3.581741575783038201e+01
2.798893162779550803e+00 4.293081514517193220e+00 1.915604114868161845e-01 -3.430423556997008916e+01
2.773105362518906603e+00 4.334035369631164869e+00 1.753860955922418863e-01 -3.452328627208604672e+01
2.721426008645473793e+00 4.411747019198943853e+00 1.988283041600063805e-01 -3.510845447374095585e+01
2.815560836150361013e+00 4.274686039269172788e+00 1.889773545818839440e-01 -3.468795857345413935e+01
2.834746879978470080e+00 4.225401651000479930e+00 1.780514060329620452e-01 -3.478179638213640601e+01
2.738129900182969756e+00 4.368715156673613542e+00 1.738597171402702368e-01 -3.605958695307482031e+01
2.841101473042073611e+00 4.184209433650463161e+00 1.894895513921271979e-01 -3.495948864994558392e+01
2.782827174490984490e+00 4.313586088535720009e+00 2.614105715355820037e-01 -3.774254334827486446e+01
2.858723646468479540e+00 4.196133729696679637e+00 2.210106983839753014e-01 -3.607733604194807242e+01
2.775398492764344027e+00 4.332272363670073290e+00 1.778021146393367335e-01 -3.442929879581940611e+01
2.817004875990921420e+00 4.244192117093262162e+00 2.011961042547731615e-01 -3.452472740063316792e+01
2.703208778789535582e+00 4.489134208599517173e+00 2.174829849534162807e-01 -3.509329137687188194e+01
2.771039053455341961e+00 4.360451535999586348e+00 1.897239809604140404e-01 -3.445352342190142281e+01
