# slope intercept sigma lnLike
3.405567261012387270e+00 2.851824982642234385e+00 7.391213369502795671e-02 -1.909879144221994451e+01
3.333717378892313565e+00 3.013964150825343857e+00 1.123622515307572400e-01 -1.842686986929602355e+01
3.356261210034090503e+00 2.941317876077420124e+00 9.438555261129470686e-02 -1.816675480342034277e+01
3.327873901185538941e+00 3.012134040621777142e+00 1.374225940789052525e-01 -1.874822880992163476e+01
3.231917248981007074e+00 3.184029647069274827e+00 1.232559769053305221e-01 -1.836876037708112008e+01
3.373701762020953510e+00 2.882875633358791934e+00 1.395271987212838849e-01 -2.026407726110049268e+01
3.247144075025346854e+00 3.151586227412422225e+00 1.379526791003049813e-01 -1.875020958462366494e+01
3.296077302944019571e+00 3.085359227570061424e+00 7.161347735368597811e-02 -1.849834739764154534e+01
3.294271864799080518e+00 3.109260730446933962e+00 8.762638216892451593e-02 -1.926953919947022342e+01
3.297748131463606125e+00 3.076384707412969988e+00 1.359923074596258719e-03 -2.023887668982690258e+01
3.246119342373080752e+00 3.164860680540457327e+00 1.121393119532022170e-01 -1.790206070103014824e+01
3.206262850510893436e+00 3.277523275359374821e+00 1.205186432438399152e-01 -1.875493358387198484e+01
3.268432305265156046e+00 3.141146275487385342e+00 1.075058246393059136e-01 -1.793879613007639406e+01
3.196181230459343769e+00 3.250757148004866259e+00 2.015757878553451066e-01 -2.356965731804679010e+01
3.274061879336782610e+00 3.116343622632739674e+00 1.250216493422554309e-01 -1.796451029966642210e+01
3.415448872050491413e+00 2.807650382256207777e+00 8.366714852896049714e-02 -1.949574718251990291e+01
3.407088369398051153e+00 2.871128074969223398e+00 1.158695734730968985e-02 -2.151810704432994825e+01
3.300579827294066515e+00 3.056879061737415526e+00 1.075707530237007548e-01 -1.776967223225165782e+01
3.331023662814454944e+00 3.016422415815656066e+00 7.142795537059679067e-02 -1.863358735329074278e+01
3.196766760759629733e+00 3.288439901736052384e+00 1.636040110623068200e-01 -1.998390215897319422e+01
3.180121532487170555e+00 3.306860987933783136e+00 1.062007858585977127e-01 -1.869297051313072089e+01
3.167564066698766112e+00 3.333455549666811457e+00 1.433914756351334918e-01 -1.919216444858981063e+01
3.365682925964133876e+00 2.933345413939272728e+00 1.249558248981867681e-01 -1.876056682224328043e+01
3.390666600063398928e+00 2.925776092090406344e+00 8.428709417560834027e-02 -2.134239799745907007e+01
3.209071216174215202e+00 3.273810685282675159e+00 1.015611814026971815e-01 -1.899576929779622603e+01
3.235573431021240953e+00 3.195606060786909008e+00 1.169715487228198125e-01 -1.793840677858326771e+01
3.294082283907104003e+00 3.037621982634619577e+00 8.521164604687901656e-02 -1.927643852467290131e+01
