# slope intercept sigma lnLike
2.879141121308467000e+00 4.073518471547082243e+00 1.448838339494771810e-01 -1.355763577135889086e+01
2.906919347900482453e+00 4.020689808296111778e+00 1.939749271744753145e-01 -1.628910180128265139e+01
2.879846096147087309e+00 4.074142353628382729e+00 1.586857685969046416e-01 -1.388902001358688665e+01
2.699676919091042127e+00 4.468687878719704187e+00 1.758110919595795574e-01 -1.757689897920556632e+01
2.880048803631782839e+00 4.103746238412405489e+00 1.373909905753366023e-01 -1.432198741306884493e+01
2.822151259811484625e+00 4.213025831306616453e+00 1.359045947288717304e-01 -1.418625760746227193e+01
2.929356196968006198e+00 3.979764777678463261e+00 1.574901876457345251e-01 -1.426330081121338367e+01
2.773164915163274014e+00 4.275955226242196261e+00 1.890740748064091981e-01 -1.627675405226336736e+01
2.915210329611786833e+00 3.996679950877380705e+00 1.353387491226034078e-01 -1.378221651857530894e+01
2.976641779650059494e+00 3.952084121895895308e+00 1.207709264045115083e-01 -2.017487204741873796e+01
2.853484914749111478e+00 4.120740897998599550e+00 1.053430638888781107e-01 -1.475556297544678941e+01
2.794392055986813617e+00 4.243205757248557752e+00 1.461435926029092391e-01 -1.406313405568557329e+01
2.888652008075668576e+00 4.046961123625282042e+00 1.398102931752628064e-01 -1.364308295232920543e+01
2.875362931545564660e+00 4.089713736572378799e+00 1.428502032865791305e-01 -1.355221072201992882e+01
2.954294158959132499e+00 3.927126299703170176e+00 1.509006229916110553e-01 -1.442075960737125939e+01
2.845948683276104063e+00 4.112143283849524877e+00 1.548032738020832522e-01 -1.460033698055416806e+01
2.937552881482828226e+00 3.957667794681833051e+00 1.072306200097528500e-01 -1.492547175422467909e+01
2.810978396955949865e+00 4.219036468336232915e+00 1.318736904062919879e-01 -1.394159906801391458e+01
2.861372867204988513e+00 4.137620697719128771e+00 1.583658291983342514e-01 -1.440312460044818721e+01
2.754740390493204849e+00 4.327540536373312818e+00 1.472997025448193886e-01 -1.478577089725792959e+01
2.901412136474838643e+00 4.015347733609654135e+00 1.596805080893800022e-01 -1.425551026352401784e+01
2.813272595176729673e+00 4.232364211973455248e+00 1.469030259641851965e-01 -1.431396756209590748e+01
2.784339860023323343e+00 4.259816909394455564e+00 1.551768295854947244e-01 -1.437613643592691126e+01
2.838930289922324768e+00 4.154007159614124589e+00 1.862490510795972165e-01 -1.543292295340323506e+01
3.006063054768186582e+00 3.844128583876047500e+00 1.405377744893673841e-01 -1.593010284246758346e+01
2.763542806764605508e+00 4.295286826319379969e+00 1.448899899198529129e-01 -1.477998990998390916e+01
2.945922394768938801e+00 3.967148021304049976e+00 1.366657158073978362e-01 -1.473022385912209309e+01
2.842333234019648103e+00 4.123567851074972701e+00 1.631872859749558535e-01 -1.466581566438186002e+01
2.839271802019498026e+00 4.108288661253694407e+00 1.551084083427900218e-01 -1.583913866277301530e+01
2.868849503624685937e+00 4.129263727251375471e+00 1.362201997334302750e-01 -1.448843006260917221e+01
2.841451742084715626e+00 4.186792154396975718e+00 1.202316342889837714e-01 -1.518112491847811185e+01
2.793287220666829995e+00 4.222012820813526801e+00 1.578872085846651785e-01 -1.492405774440297606e+01
2.857413541207364016e+00 4.100556831614477815e+00 8.789565438738768111e-02 -1.667605850733558270e+01
2.852887303863536061e+00 4.131633255703039964e+00 1.181694731341442622e-01 -1.397485675039702002e+01
2.858541408646653625e+00 4.139651007521369053e+00 1.531074432856047995e-01 -1.410512365402576407e+01
2.858404561029042945e+00 4.141641627889549149e+00 1.977669971109861091e-01 -1.678075876431047675e+01
2.739499616097653245e+00 4.352959132956343069e+00 1.632351092949465565e-01 -1.540034556266780541e+01
