KID,Name,Redshift,INC,Re,Re_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int,log(Rgas),log(Rgas_err),Rout_Flag,Mstar_flag,Wiggle_Flag,Rgas_flag,,ve,,m,,,check HI,check H2,check star
118,C-zcos_z1_482,0.952926096,54.56217301,6.064525,1.8193576,72.07876273,10.69152964,239.9079572,30.64582972,239.9079572,30.64582972,1.18E+10,5.45E+09,3.14E+09,1.02E+10,4.01E+10,2.13E+11,15.95840313,1.639750943,1.492548882,F,OK,OK,F,,1.857807323,,10.74126225,,,0,0,1
119,C-zcos_z1_484,0.855195199,42.72685267,4.3298097,1.298943,176.0153774,55.30481931,308.3622563,31.41950347,338.9159075,44.90499319,2.49E+10,1.15E+10,3.66E+09,2.16E+10,3.05E+10,2.95E+11,3.315151486,1.62811211,1.472839797,OK,OK,OK,F,,2.245550611,,10.77186686,,,0,0,1
121,C-zcos_z1_493,0.88806746,43.9492911,4.303485,1.2910455,24.94625338,22.85522451,66.15726859,41.82533795,42.2447186,28.29194568,4.10E+09,1.89E+09,3.26E+09,3.56E+09,1.08E+11,1.94E+11,1.968575548,1.599717396,1.455270219,OK,OK,F,F,,1.397005329,,11.06389479,,,0,0,1
122,C-zcos_z1_497,0.959999734,34.44369871,5.6932983,1.7079896,148.1096861,6.536826939,157.5675797,13.67830019,185.0942964,8.98959404,1.98E+10,9.13E+09,3.58E+09,1.71E+10,2.99E+10,2.35E+11,6.579959923,1.748330833,1.715913512,OK,OK,OK,F,,2.170583461,,10.72648959,,,0,0,1
124,C-zcos_z1_593,0.924073322,72.11446925,3.7753708,1.1326113,151.6233439,59.87238136,153.5101459,18.88747736,175.5177006,13.18171862,4.80E+09,2.21E+09,2.57E+09,4.10E+09,7.09E+10,1.85E+11,5.107203155,1.3336727,1.151811498,OK,OK,OK,ok,,2.18076607,,10.8936361,,,0,0,1
144,C-zcos_z1_642,0.917786347,42.3692596,3.0503702,0.9151111,188.781284,71.15240819,180.4699896,16.50228661,156.9863234,13.27236022,9.48E+09,4.37E+09,4.69E+09,8.37E+09,7.59E+10,2.22E+11,1.451005273,0.900033158,0.872923797,OK,OK,OK,ok,,2.275958936,,10.9545218,,,0,0,1
145,C-zcos_z1_644,0.913949658,56.2602742,4.3298044,1.2989414,160.4516983,54.61113789,189.2486135,23.43029524,258.0268097,31.61498309,1.14E+10,5.25E+09,3.30E+09,9.85E+09,4.64E+10,2.27E+11,4.11338272,1.169055906,1.054778582,OK,OK,OK,ok,,2.205344318,,10.78604334,,,0,0,1
146,C-zcos_z1_652,0.916857518,52.80780592,3.4467535,1.034026,186.0329828,70.3522836,169.4271743,25.03573639,137.5647851,16.11910747,1.01E+10,4.66E+09,2.29E+09,8.55E+09,3.53E+10,2.16E+11,3.849196871,1.10570933,1.037223632,OK,OK,OK,ok,,2.26958995,,10.6782314,,,0,0,1
148,C-zcos_z1_659,0.981667109,53.91975604,3.1556273,0.94668823,116.5751989,40.29787524,118.8754112,9.599675493,104.0702719,11.17262286,8.97E+09,4.14E+09,3.18E+09,7.73E+09,4.82E+10,1.92E+11,3.463236123,1.322501913,1.197129058,OK,OK,OK,ok,,2.066606165,,10.7808931,,,0,0,1
149,C-zcos_z1_660,0.92946134,65.20584499,5.4115973,1.6234792,90.38015239,9.740428593,145.2262199,7.819467876,132.7151747,9.821533747,1.50E+10,6.93E+09,3.35E+09,1.30E+10,3.67E+10,2.33E+11,15.90384121,1.549885939,1.383035824,F,OK,OK,ok,,1.956073069,,10.74113238,,,0,0,1
150,C-zcos_z1_670,0.879092113,57.19584455,2.6539555,0.7961867,248.51681,84.39228408,235.8802874,22.92071435,154.6763594,25.61747393,2.23E+10,1.03E+10,5.96E+09,1.99E+10,5.20E+10,2.85E+11,2.154895311,0.743699667,0.685439396,OK,OK,OK,ok,,2.39535577,,10.90477735,,,0,0,1
151,C-zcos_z1_673,0.916525121,42.50122904,5.733666,1.7200999,91.25407535,10.48678222,108.2394266,10.14242098,108.182318,10.13117027,5.16E+09,2.38E+09,1.96E+09,4.34E+09,5.17E+10,1.88E+11,1.758953432,1.0315866,0.961320246,F,OK,OK,ok,,1.960252269,,10.76934296,,,0,0,1
152,C-zcos_z1_675,0.891498808,57.78292543,4.441016,1.332305,246.3218632,77.22463509,256.8720539,21.03638725,281.8690464,22.91506297,2.15E+10,9.92E+09,6.43E+09,1.93E+10,5.65E+10,2.78E+11,2.000762597,0.917878578,0.85197097,OK,OK,OK,ok,,2.391502961,,10.92691175,,,0,0,1
154,C-zcos_z1_685,0.867736865,53.71393737,3.475418,1.0426255,153.6865555,8.421020243,127.6984955,9.601904707,105.588883,7.103768016,1.52E+10,6.99E+09,4.55E+09,1.33E+10,5.51E+10,2.65E+11,1.556922218,0.93020624,0.887562743,OK,OK,OK,ok,,2.186635877,,10.8742785,,,0,0,1
155,C-zcos_z1_690,0.925160286,51.98932293,3.250835,0.9752505,240.0916656,97.39039831,215.968173,33.93866145,221.4278807,28.21109959,2.09E+10,9.65E+09,4.60E+09,1.84E+10,3.90E+10,2.55E+11,4.029268072,1.087964303,1.030458343,OK,OK,OK,ok,,2.380377085,,10.80993594,,,0,0,1
156,C-zcos_z1_692,0.926978416,40.18309176,4.1659923,1.2497977,133.2546413,43.52819033,179.4262935,10.62209499,195.8493885,9.480015927,2.40E+10,1.11E+10,7.10E+09,2.16E+10,5.37E+10,2.68E+11,3.97415974,0.975355421,0.953251272,OK,OK,OK,ok,,2.124682345,,10.92868585,,,0,0,1
157,C-zcos_z1_693,0.924618181,56.27937298,4.155385,1.2466156,141.2636141,45.36449583,147.353063,12.40406737,179.0124474,13.70003629,7.00E+09,3.23E+09,2.92E+09,6.01E+09,5.95E+10,2.01E+11,2.258605226,1.378231492,1.257840206,OK,OK,OK,ok,,2.150030313,,10.84148797,,,0,0,1
159,C-zcos_z1_698,0.926691073,34.39957759,3.0274315,0.90822953,138.3428869,51.04642941,143.2567375,15.62806408,156.2463437,13.61288346,1.66E+10,7.67E+09,3.69E+09,1.44E+10,3.75E+10,2.40E+11,3.420696953,1.111863257,1.030554791,OK,OK,OK,ok,,2.140956834,,10.76228356,,,0,0,1
160,C-zcos_z1_703,0.803368977,32.76219066,1.8197962,0.5459389,224.8900034,177.5829615,229.9917083,170.0790503,200.1291718,108.1371165,1.36E+10,6.26E+09,2.58E+09,1.16E+10,3.84E+10,2.83E+11,1.981794238,1.261140392,1.127572339,OK,OK,F,ok,,2.351970151,,10.73653054,,,0,0,1
162,C-zcos_z1_726,0.928240943,38.80447403,2.802337,0.84070116,225.5986054,85.11504621,165.4880393,32.47221167,160.1391781,10.55776643,1.31E+10,6.03E+09,3.22E+09,1.13E+10,3.96E+10,2.27E+11,12.95090386,1.402570776,1.261143143,OK,OK,OK,ok,,2.353336411,,10.74749439,,,0,0,1
166,C-zcos_z1_796,0.885444448,32.68467194,3.3286138,0.99858415,87.23861937,28.37616376,89.6408915,7.418410426,103.5323948,9.588913092,4.06E+09,1.87E+09,2.00E+09,3.43E+09,6.75E+10,1.89E+11,4.749279854,0.819475919,0.790564072,OK,OK,OK,ok,,1.940708784,,10.86697232,,,0,0,1
171,C-zcos_z1_925,0.912870404,45.59468152,3.7296395,1.118892,165.6710024,58.6335047,156.7883527,13.39504023,157.3370177,11.22791995,1.52E+10,6.99E+09,4.42E+09,1.33E+10,4.95E+10,2.45E+11,7.234770407,1.144471078,1.055201382,OK,OK,OK,ok,,2.2192465,,10.83938079,,,0,0,1
177,E-zmus_z1_107,0.961693646,27.86177917,1.4222546,0.4266764,83.92690642,27.69702829,82.62938056,23.68363329,80.84931966,15.84968878,4.34E+09,2.00E+09,2.04E+09,3.65E+09,5.72E+10,1.68E+11,2.567491476,0.740854575,0.716840637,F,OK,OK,ok,,1.923901215,,10.80309451,,,0,0,1
181,E-zmus_z1_117,0.841633642,34.52546215,2.9573355,0.8872007,84.20696927,74.00949353,69.16721968,45.99777016,87.95425422,56.60123428,1.56E+10,7.19E+09,2.84E+09,1.34E+10,3.52E+10,2.72E+11,3.592839411,0.979896317,0.932775373,OK,OK,F,ok,,1.925348037,,10.72982873,,,0,0,1
183,E-zmus_z1_119,0.841298299,61.7587201,4.19094,1.257282,239.9405875,84.2821031,236.2377495,21.15244283,200.6669255,17.23743966,2.74E+10,1.26E+10,4.66E+09,2.41E+10,3.69E+10,3.13E+11,2.744183733,1.031084896,0.963687808,OK,OK,OK,ok,,2.380103718,,10.83848308,,,0,0,1
184,E-zmus_z1_12,0.976393157,51.44321189,3.91059,1.173177,340.1830441,113.5912657,338.724346,27.38069762,339.4148059,6.079238779,6.27E+10,2.89E+10,1.03E+10,5.73E+10,3.32E+10,3.04E+11,3.312287267,1.06366295,1.006369892,OK,OK,OK,ok,,2.531712663,,11.02576262,,,0,0,1
186,E-zmus_z1_122,0.996927382,45.49903654,4.9662123,1.4898638,179.0703183,9.33414895,157.7264391,8.249300101,130.0345244,8.919156509,3.88E+10,1.79E+10,5.93E+09,3.44E+10,2.72E+10,2.59E+11,1.467533727,1.003865466,0.976967273,F,OK,OK,ok,,2.253023605,,10.85707971,,,0,0,1
188,E-zmus_z1_125,0.997852821,61.68315452,2.5132022,0.75396067,147.3905835,50.87306561,136.4673727,42.41129008,144.4906259,15.83827295,1.26E+10,5.82E+09,3.45E+09,1.09E+10,3.88E+10,2.01E+11,4.646871887,0.949844365,0.870412194,OK,OK,OK,ok,,2.168469738,,10.73959723,,,0,0,1
189,E-zmus_z1_127,0.895530604,51.19046143,4.0246596,1.2073978,142.6887837,46.35047459,166.8013539,12.3479625,181.0351678,15.88026606,1.23E+10,5.66E+09,2.30E+09,1.04E+10,3.14E+10,2.33E+11,1.533683943,1.300410689,1.185732486,OK,OK,OK,ok,,2.154389836,,10.66267194,,,0,0,1
201,E-zmus_z1_146,0.862010423,59.25702223,3.146733,0.9440199,221.7848356,73.30630685,254.0862189,17.6447146,238.3711071,24.31401847,3.29E+10,1.52E+10,4.71E+09,2.89E+10,3.10E+10,3.12E+11,13.14496144,1.213607202,1.072146797,OK,OK,OK,ok,,2.345931848,,10.83659111,,,0,0,1
210,E-zmus_z1_166,0.975108116,42.67401965,2.4559138,0.73677415,157.4667677,68.2991005,191.6891113,60.49470844,151.0278594,16.24858861,2.92E+10,1.34E+10,5.98E+09,2.59E+10,3.57E+10,2.54E+11,3.656071719,0.789255112,0.762605764,OK,OK,OK,ok,,2.197188913,,10.85056992,,,0,0,1
217,E-zmus_z1_176,0.958846289,70.75287386,3.3691907,1.0107572,214.3585114,84.08829138,182.1171895,26.91018016,129.0690946,14.67822611,9.93E+09,4.58E+09,4.51E+09,8.73E+09,6.56E+10,2.08E+11,3.388392147,0.924050401,0.804407206,OK,OK,OK,ok,,2.331140732,,10.90338097,,,0,0,1
221,E-zmus_z1_189,0.840015761,39.29096468,3.1578732,0.947362,212.4728516,82.29203022,179.1790535,26.28900563,168.8763328,21.62706962,9.23E+09,4.25E+09,2.66E+09,7.89E+09,5.05E+10,2.45E+11,2.861093939,1.124005207,1.046344985,OK,OK,OK,ok,,2.327303447,,10.79497854,,,0,0,1
222,E-zmus_z1_190,0.813877778,32.58016608,1.4539032,0.43617097,71.33460094,28.8237295,115.7659928,34.30573135,172.1767066,28.57645671,5.56E+09,2.56E+09,1.69E+09,4.65E+09,5.04E+10,2.27E+11,1.592907917,1.039761643,0.966048605,OK,OK,OK,ok,,1.853300236,,10.76093392,,,0,0,1
226,E-zmus_z1_195,0.821741846,44.52388935,2.1924925,0.65774775,38.75327104,37.74297537,39.60157722,37.87822032,144.8745157,86.05610332,9.48E+09,4.37E+09,1.84E+09,7.94E+09,3.54E+10,2.50E+11,3.9850009,1.657891697,1.53228331,OK,OK,F,F,,1.588308366,,10.66921286,,,0,0,1
230,E-zmus_z1_207,0.820057706,40.16058935,4.284553,1.2853659,91.97340104,32.58735317,83.07408139,7.97315444,119.4906931,12.52068872,2.86E+10,1.32E+10,2.96E+09,2.45E+10,2.35E+10,3.20E+11,5.238041307,1.329814961,1.262948992,OK,F,OK,ok,,1.963662246,,10.74150731,,,0,0,1
231,E-zmus_z1_208,0.861795773,63.51411812,1.635211,0.49056333,137.228465,48.32841124,128.1870497,44.01101705,117.4153734,22.01542673,2.30E+09,1.06E+09,1.83E+09,1.93E+09,1.02E+11,1.76E+11,4.515246309,1.4881195,1.239383669,OK,OK,OK,ok,,2.137444206,,11.02447265,,,0,0,1
232,E-zmus_z1_21,0.839075627,25.18152961,3.1547704,0.9464311,131.3211708,46.98718604,161.0448448,14.33441604,157.0840787,15.96505333,3.11E+10,1.43E+10,3.88E+09,2.71E+10,2.78E+10,3.19E+11,4.922185525,1.008078854,0.98168744,OK,F,OK,ok,,2.118334746,,10.79823784,,,0,0,1
237,E-zmus_z1_219,0.976920281,61.97082327,3.3533795,1.0060139,177.7541985,54.72862688,202.5134183,15.65515846,217.0952461,14.9087466,2.64E+10,1.21E+10,9.03E+09,2.40E+10,5.83E+10,2.54E+11,3.613597648,1.004879493,0.920205586,OK,OK,OK,ok,,2.249819867,,10.97184751,,,0,0,1
240,E-zmus_z1_24,0.823131685,73.70416997,3.9,1.1700001,169.865711,54.69666253,127.3213785,8.961607883,187.8770955,11.54257825,1.31E+10,6.03E+09,2.89E+09,1.12E+10,4.26E+10,2.72E+11,2.278754212,1.453360806,1.246391991,OK,OK,OK,ok,,2.230105721,,10.76807443,,,0,0,1
