# slope intercept sigma lnLike
3.484994462012719119e+00 1.434517215137907087e+00 9.253053782163542240e-02 -6.258484573125768335e+00
3.525845106751149594e+00 1.341317051375290115e+00 1.047641490681518878e-01 -5.691980661241779593e+00
3.524137662621546596e+00 1.402233137134438978e+00 8.823676709373214078e-02 -4.503838415905053516e+00
3.553403444136640665e+00 1.276795804654325961e+00 1.136055739332093445e-01 -5.847822837720315192e+00
3.565226671260500080e+00 1.291205319391150574e+00 9.055547254071236174e-02 -4.275332112313612321e+00
3.638790371545593150e+00 1.093019388743848630e+00 1.147976976595275339e-01 -5.917470963305625276e+00
3.474770851365991842e+00 1.501700541941166422e+00 8.192728108004085352e-02 -4.356059667015661496e+00
3.512630451963136391e+00 1.406785836321017724e+00 4.444435338232557986e-02 -5.627144146183073126e+00
3.416433932784703753e+00 1.647206345290998852e+00 9.876512875621010212e-02 -4.973842911237607467e+00
3.752652707080942562e+00 8.409925402521614135e-01 1.209087839470772835e-01 -9.198264393675515294e+00
3.592456691994651674e+00 1.245433842487400966e+00 7.571094273008507902e-02 -5.463320849842315141e+00
3.535178423436277306e+00 1.365551815947820602e+00 9.254737244593677636e-02 -4.177461272286626226e+00
3.551262665216264658e+00 1.304873453420801965e+00 1.000094762623737477e-01 -4.379302179427253527e+00
3.570881356455559708e+00 1.253957503321566636e+00 5.950512378094319210e-02 -5.122651153274079050e+00
3.515205870436542313e+00 1.413963321136418427e+00 4.761738899409095199e-02 -5.579793767763960410e+00
3.510485749474964834e+00 1.435274909291119450e+00 1.000559558386456549e-01 -4.564029676358107857e+00
3.540979022522490638e+00 1.342572289852783207e+00 1.074811276383029757e-01 -4.342833904445396520e+00
3.543456430130857981e+00 1.358494092997993841e+00 9.794056236147184735e-02 -4.720701597658093718e+00
3.555115399115678532e+00 1.333027987253372793e+00 1.165798141612149341e-01 -5.447990506737209415e+00
3.667095619606236756e+00 1.056058059937994509e+00 1.097710924663342219e-01 -6.558764451899037340e+00
3.575268176634955442e+00 1.292126824745362557e+00 7.722669012593871840e-02 -5.661261341315179330e+00
3.443998242567225532e+00 1.571756619163477753e+00 1.135634283010702045e-01 -4.793290250994353130e+00
3.574363224094371461e+00 1.288843837239439738e+00 9.327320017913137695e-02 -5.151912171363140835e+00
3.507558861257713545e+00 1.407340360442680627e+00 7.943799730578951501e-02 -4.474072790934395805e+00
